구,동,아파트명,세대수,준공년월,공급면적(㎡),전용면적(㎡),공급면적(평),KB매매시세(만원),KB매매시세,매매상한가(만원),매매하한가(만원),도로명주소,단지ID
,감이동,감일수자인,512,2022.08,112.82,84.64,34.12,145000,"14억 5,000만 원",151500,138500,경기도 하남시 감일백제로180번길 30,49504
,감이동,감일스타힐스,578,2021.10,113.16,84.95,34.23,140000,14억,145000,134500,경기도 하남시 감일순환로 170,45302
,감이동,감일스타힐스,578,2021.10,115.76,84.88,35.01,140000,14억,145000,134500,경기도 하남시 감일순환로 170,45302
,감이동,감일스타힐스,578,2021.10,115.78,84.89,35.02,140000,14억,145000,134500,경기도 하남시 감일순환로 170,45302
,감이동,감일에코앤e편한세상,866,2021.09,109.63,84.98,33.16,144000,"14억 4,000만 원",149000,137500,경기도 하남시 감일중앙로 20,45356
,감이동,감일에코앤e편한세상,866,2021.09,112.45,84.96,34.01,144000,"14억 4,000만 원",149000,137500,경기도 하남시 감일중앙로 20,45356
,감이동,감일파크센트레빌,595,2021.10,113.68,84.88,34.39,147500,"14억 7,500만 원",152500,140000,경기도 하남시 감일순환로 190,45303
,감이동,감일파크센트레빌,595,2021.10,113.70,84.89,34.39,147500,"14억 7,500만 원",152500,140000,경기도 하남시 감일순환로 190,45303
,감이동,감일파크센트레빌,595,2021.10,113.78,84.95,34.41,147500,"14억 7,500만 원",152500,140000,경기도 하남시 감일순환로 190,45303
,감이동,감일푸르지오마크베르,496,2023.06,146.12,114.76,44.20,151500,"15억 1,500만 원",164000,147000,경기도 하남시 감일중앙로 80,321183
,감이동,감일푸르지오마크베르,496,2023.06,146.60,114.92,44.34,151500,"15억 1,500만 원",164000,147000,경기도 하남시 감일중앙로 80,321183
,감이동,더샵포웰시티,881,2021.01,116.47,90.81,35.23,140000,14억,146000,135000,경기도 하남시 감일백제로 70,42011
,감이동,더샵포웰시티,881,2021.01,127.73,99.64,38.63,148000,"14억 8,000만 원",153000,140500,경기도 하남시 감일백제로 70,42011
,감이동,더샵포웰시티,881,2021.01,128.02,99.43,38.72,148000,"14억 8,000만 원",153000,140500,경기도 하남시 감일백제로 70,42011
,감이동,포웰시티푸르지오라포레,790,2021.02,127.49,99.64,38.56,141500,"14억 1,500만 원",148000,132500,경기도 하남시 감일백제로 20,42012
