feature_a,feature_b,abs_spearman_corr
kb_sale_price_manwon,log_kb_sale_price,1.0
households_by_size,log_households_by_size,1.0
households_total,log_households_total,1.0
supply_area_pyeong,supply_area_m2,0.999999762829128
exclusive_area_pyeong,exclusive_area_m2,0.9997545919937528
built_yyyymm,built_year,0.9986568207205467
sale_price_per_exclusive_pyeong,sale_price_per_supply_pyeong,0.98300144793773
built_yyyymm,building_age_years,0.9814266732687782
built_year,building_age_years,0.9802687676253644
supply_area_pyeong,exclusive_area_pyeong,0.9493975938708107
exclusive_area_pyeong,supply_area_m2,0.9493949218542506
supply_area_pyeong,exclusive_area_m2,0.9492708914207996
supply_area_m2,exclusive_area_m2,0.9492685429506678
supply_area_pyeong,contract_area_pyeong,0.9363880083158097
contract_area_pyeong,supply_area_m2,0.9363818108411891
kb_price_gap_manwon,log_kb_sale_price,0.9356239266985188
kb_sale_price_manwon,kb_price_gap_manwon,0.9356239266985188
kb_jeonse_price_manwon,log_kb_sale_price,0.9234647281622511
kb_sale_price_manwon,kb_jeonse_price_manwon,0.9234647281622511
complex_area_rank_pct,complex_price_rank_pct,0.905193484160185
contract_area_pyeong,exclusive_area_m2,0.9041098119659218
exclusive_area_pyeong,contract_area_pyeong,0.9040020343843111
complex_sale_price_premium_pct,complex_price_rank_pct,0.8950073084213107
hospital_doctor_sum_5000m,tertiary_hospital_count_5000m,0.8857941341291723
sale_price_per_exclusive_pyeong,jeonse_price_per_exclusive_pyeong,0.884810998455712
jeonse_price_per_exclusive_pyeong,sale_price_per_supply_pyeong,0.8608085557681487
nearest_station_m,station_count_500m,0.829817469914366
kb_price_gap_manwon,sale_price_per_supply_pyeong,0.8252421623131326
complex_sale_price_premium_pct,complex_area_rank_pct,0.8205958880062585
log_kb_sale_price,gu_price_rank_pct,0.79656187082495
kb_sale_price_manwon,gu_price_rank_pct,0.79656187082495
kb_jeonse_price_manwon,kb_price_gap_manwon,0.7895822994924802
kb_price_gap_manwon,sale_price_per_exclusive_pyeong,0.7871715821731851
log_kb_sale_price,sale_price_per_supply_pyeong,0.7869233700550858
kb_sale_price_manwon,sale_price_per_supply_pyeong,0.7869233700550858
school_count_1000m,middle_school_count_1000m,0.7864408560273117
sale_price_per_exclusive_pyeong,gu_pp_premium_pct,0.764278394703226
school_count_1000m,elementary_school_count_1000m,0.7633288249608811
kb_jeonse_price_manwon,gu_price_rank_pct,0.7524585290005995
school_count_1000m,high_school_count_1000m,0.7493465200423606
kb_sale_price_manwon,sale_price_per_exclusive_pyeong,0.7418170382518603
log_kb_sale_price,sale_price_per_exclusive_pyeong,0.7418170382518603
nearest_school_m,nearest_elementary_school_m,0.741358535598645
kb_price_gap_manwon,gu_price_rank_pct,0.7367678369682354
kb_jeonse_price_manwon,jeonse_price_per_exclusive_pyeong,0.7308951896952461
sale_price_per_supply_pyeong,gu_pp_premium_pct,0.7302777157649466
kb_jeonse_price_manwon,contract_area_pyeong,0.7244725404410326
nearest_tertiary_hospital_m,tertiary_hospital_count_5000m,0.7069509618829929
log_kb_sale_price,jeonse_price_per_exclusive_pyeong,0.6905153230291351
kb_sale_price_manwon,jeonse_price_per_exclusive_pyeong,0.6905153230291351
complex_pp_premium_pct,complex_area_rank_pct,0.6900440611371282
hospital_doctor_sum_3000m,nearest_tertiary_hospital_m,0.6817192911991411
kb_jeonse_price_manwon,supply_area_m2,0.6816751051311505
kb_jeonse_price_manwon,supply_area_pyeong,0.6816744772581804
kb_jeonse_price_manwon,exclusive_area_m2,0.6740724311625069
kb_jeonse_price_manwon,exclusive_area_pyeong,0.6739063447798207
