feature,gain,split,gain_share_pct,split_share_pct,rank_gain,feature_group,pearson_corr_target,spearman_corr_target
horizon_months,218051724.00805664,4339,16.556455271113197,5.831989247311828,1,horizon,0.0698808304237067,-0.033251750832378586
kb_sale_price_manwon,156175460.30847168,2382,11.858250765067046,3.201612903225806,2,kb_market,0.3023259672674428,0.2305886198276416
gu,91214531.87408447,3769,6.925830666640406,5.065860215053764,3,apartment_meta,,
households_total,88024964.15344238,2741,6.683649892600546,3.6841397849462365,4,apartment_meta,0.017854656786169397,-0.11731688171099673
building_age_years,63238116.26513672,7105,4.801608646462742,9.5497311827957,5,individual_stability_without_actual_tx,0.002962860987671179,-0.03990359106369354
built_yyyymm,62725805.17120361,4450,4.762709363505065,5.981182795698925,6,apartment_meta,0.02707483964714136,0.07950056192367326
lat,55218860.70941162,2403,4.192714373693392,3.229838709677419,7,apartment_meta,-0.20316210809559038,-0.19396169166051705
sale_price_per_supply_pyeong,48302207.33746338,2595,3.6675396120656227,3.487903225806452,8,individual_stability_without_actual_tx,0.27486608591954326,0.1724409974507471
sale_price_per_exclusive_pyeong,40962508.29205322,2949,3.110243404014199,3.9637096774193545,9,individual_stability_without_actual_tx,0.25741519592809176,0.14968529044855852
gu_pp_premium_pct,39576240.9765625,2257,3.0049854753867677,3.033602150537634,10,individual_stability_without_actual_tx,0.11839211103835022,0.0028123421145184345
kb_jeonse_ratio_pct,27212977.38922119,2110,2.066254898868896,2.836021505376344,11,kb_market,-0.061993019698844895,-0.012040162609481453
hospital_doctor_sum_5000m,25460073.455078125,1252,1.9331586084716426,1.682795698924731,12,poi_accessibility,0.2807497385672181,0.2747713711629792
jeonse_price_per_exclusive_pyeong,24141545.38482666,2044,1.8330440548347315,2.7473118279569895,13,individual_stability_without_actual_tx,0.2003107254048871,0.15344464831462726
kb_price_gap_manwon,22908403.19140625,2325,1.7394127677574822,3.125,14,kb_market,0.3030072782464782,0.2101456861467043
contract_area_pyeong,22512300.76300049,995,1.7093370957190581,1.3373655913978495,15,apartment_meta,0.18544748083226903,0.17653754348293707
kb_jeonse_price_manwon,21055873.76348877,1658,1.598752010539147,2.228494623655914,16,kb_market,0.25620793854255264,0.2038251667576564
lon,20527802.335632324,2020,1.558656060759199,2.71505376344086,17,apartment_meta,0.0654177206557994,0.03563291224591963
nearest_station_m,18685661.234436035,1843,1.418784079082463,2.4771505376344085,18,poi_accessibility,-0.13542788195257718,-0.1400368481059741
floor_area_ratio,17043227.68359375,1584,1.2940756974175185,2.129032258064516,19,apartment_meta,0.10727921691648352,0.09640421589541125
households_by_size,16594599.00390625,586,1.260011758219724,0.7876344086021505,20,apartment_meta,-0.04585600906899779,-0.13813551922719366
nearest_tertiary_hospital_m,16423683.128234863,1558,1.247034282056445,2.0940860215053765,21,poi_accessibility,-0.25991297868429364,-0.2623588953188588
complex_sale_price_premium_pct,16236989.382446289,1338,1.2328588075647557,1.7983870967741935,22,individual_stability_without_actual_tx,-0.010332242154514795,0.015917142452802045
hospital_doctor_sum_3000m,15078010.5881958,1183,1.144858675236208,1.59005376344086,23,poi_accessibility,0.1770023801009762,0.193515748144201
tertiary_hospital_count_5000m,14355456.78881836,235,1.0899958681899153,0.31586021505376344,24,poi_accessibility,0.27846361630548944,0.28651832850792486
gu_price_rank_pct,12118214.744812012,1599,0.920124256301736,2.149193548387097,25,individual_stability_without_actual_tx,0.14411876786636155,0.10866221419133631
nearest_school_m,9935531.521972656,1195,0.7543952426269175,1.606182795698925,26,poi_accessibility,0.05273306216468636,0.06521858974221827
nearest_hospital_m,9850473.494873047,1315,0.7479368693784134,1.7674731182795698,27,poi_accessibility,-0.03649641957346606,-0.034577994682478415
nearest_middle_school_m,9671976.258117676,1352,0.7343837478435963,1.817204301075269,28,poi_accessibility,0.01645232906771103,0.03304884976027386
exclusive_area_pyeong,9430798.848632812,555,0.7160713817721794,0.7459677419354839,29,apartment_meta,0.18910814407300192,0.166195901549281
nearest_elementary_school_m,9389398.405517578,1196,0.7129278864030884,1.60752688172043,30,poi_accessibility,0.05489332404832274,0.0663953309368562
building_coverage_ratio,8964668.05633545,1165,0.6806785241909447,1.5658602150537635,31,apartment_meta,0.06227706653697203,0.10464414116605557
log_kb_sale_price,8812192.37121582,220,0.6691011937566198,0.2956989247311828,32,individual_stability_without_actual_tx,0.2636361560391514,0.2305886198276416
log_households_total,8698021.288269043,245,0.6604322945004367,0.3293010752688172,33,individual_stability_without_actual_tx,-0.04178794494527489,-0.11731688171099673
nearest_high_school_m,8303881.210510254,1310,0.6305056218375535,1.760752688172043,34,poi_accessibility,-0.015682380993710558,0.012926688937632897
complex_pp_premium_pct,7821184.811889648,1182,0.5938549538841362,1.588709677419355,35,individual_stability_without_actual_tx,-0.031620554206162575,-0.052741847629688955
elementary_school_count_1000m,7629932.8439331055,532,0.5793333780177244,0.7150537634408602,36,poi_accessibility,-0.15466264726508436,-0.1532928416994123
school_count_1000m,7370311.716369629,751,0.559620598375671,1.0094086021505375,37,poi_accessibility,-0.11286501555970467,-0.12706760617725066
supply_area_pyeong,6547113.90246582,606,0.49711598921847394,0.814516129032258,38,apartment_meta,0.18130605015818513,0.15921214376474202
complex_size_count,5496833.4318237305,630,0.41736921485375034,0.8467741935483872,39,individual_stability_without_actual_tx,0.09758004042465696,0.09858663329311831
built_year,5125054.703735352,354,0.3891404177169793,0.4758064516129032,40,individual_stability_without_actual_tx,0.027117624129580558,0.08029296054152843
station_count_1000m,4702353.524902344,516,0.3570451284353549,0.6935483870967741,41,poi_accessibility,0.18976306961679465,0.19753245876775485
property_type,4216749.009521484,52,0.32017365000550885,0.06989247311827956,42,apartment_meta,,
exclusive_area_m2,3964593.8037109375,230,0.30102775053889236,0.30913978494623656,43,apartment_meta,0.18910980700267563,0.16615936300625772
hospital_count_3000m,3897658.8938598633,398,0.29594544795189537,0.5349462365591398,44,poi_accessibility,0.008340252290844539,0.029633086465822075
hospital_count_5000m,3779304.767150879,424,0.28695893425234503,0.5698924731182796,45,poi_accessibility,0.06103881016856212,0.07198271249466569
high_school_count_1000m,3490637.0447998047,342,0.26504067492620875,0.4596774193548387,46,poi_accessibility,-0.038914185309520434,-0.054571501032653104
built_month,3428103.385559082,631,0.26029255501627485,0.8481182795698925,47,individual_stability_without_actual_tx,-0.012387285707292013,-0.017662618496862532
housing_type,3063305.891357422,316,0.2325938361767907,0.42473118279569894,48,apartment_meta,,
middle_school_count_1000m,2103621.6021728516,299,0.1597259417331433,0.4018817204301075,49,poi_accessibility,-0.06598724516353127,-0.08665404043073244
complex_price_rank_pct,1901599.1444091797,379,0.14438657305380645,0.5094086021505376,50,individual_stability_without_actual_tx,-0.006895841624783315,0.007734533624868594
station_count_500m,1773362.958984375,222,0.13464972424977906,0.29838709677419356,51,poi_accessibility,0.13695582028190095,0.13834547705095193
supply_area_m2,1669529.3330078125,162,0.12676573804449257,0.21774193548387094,52,apartment_meta,0.18131137698713104,0.15922384783053567
size_household_share,1386098.3892822266,358,0.10524510222476072,0.48118279569892475,53,individual_stability_without_actual_tx,-0.05724273394601079,-0.07377357966873241
complex_area_rank_pct,377759.8018798828,93,0.028682934251039335,0.125,54,individual_stability_without_actual_tx,-0.0038885994208744884,0.00928147219942015
log_households_by_size,372088.30743408203,50,0.028252303195314236,0.06720430107526883,55,individual_stability_without_actual_tx,-0.07316290501573153,-0.13813551922719366
