id,name,type,lat,lon,address,doctor_count,phone,source
hospital:JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQzNjEwMDIjODEjJDEjJDIjJDgz,가톨릭대학교 성빈센트병원,상급종합,37.2779855,127.0274271,"경기도 수원시 팔달구 중부대로 93, (지동)",370,031-1577-8588,건강보험심사평가원_병원정보서비스_v2
hospital:JDQ4MTYyMiM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjE4MzIjNDEjJDEjJDgjJDgz,가톨릭대학교인천성모병원,상급종합,37.4848309,126.7248987,"인천광역시 부평구 동수로 56, (부평동)",334,032-1544-9004,건강보험심사평가원_병원정보서비스_v2
hospital:JDQ4MTYyMiM1MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQ0NjEwMDIjNDEjJDEjJDgjJDgz,강릉아산병원,상급종합,37.8184324,128.8578411,"강원특별자치도 강릉시 사천면 방동길 38-0, 강릉아산병원",247,033-610-3114,건강보험심사평가원_병원정보서비스_v2
hospital:JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQ0NjEwMDIjNjEjJDEjJDQjJDgz,강북삼성병원,상급종합,37.5684083,126.96775,"서울특별시 종로구 새문안로 29, (평동)",403,02-2001-2001,건강보험심사평가원_병원정보서비스_v2
hospital:JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQyNjE4MzIjNjEjJDEjJDQjJDgz,건국대학교병원,상급종합,37.5403764,127.0718276,"서울특별시 광진구 능동로 120-1, (화양동)",401,1588-1533,건강보험심사평가원_병원정보서비스_v2
hospital:JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEwMDIjNzEjJDEjJDgjJDgz,경북대학교병원,상급종합,35.8662525,128.604703,"대구광역시 중구 동덕로 130, (삼덕동2가, 경북대학교병원)",452,053-200-5114,건강보험심사평가원_병원정보서비스_v2
hospital:JDQ4MTYyMiM4MSMkMSMkNCMkODkkMzgxMzUxIzExIyQxIyQzIyQ5OSQyNjEwMDIjNjEjJDEjJDQjJDgz,경상국립대학교병원,상급종합,35.1759944,128.0964924,"경상남도 진주시 강남로 79, (칠암동)",275,055-750-8000,건강보험심사평가원_병원정보서비스_v2
hospital:JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ4OSQzNjEyMjIjODEjJDEjJDIjJDgz,경희대학교병원,상급종합,37.5941195,127.051852,"서울특별시 동대문구 경희대로 23, (회기동)",424,02-958-8114,건강보험심사평가원_병원정보서비스_v2
hospital:JDQ4MTYyMiM4MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ3OSQyNjEyMjIjNjEjJDEjJDQjJDgz,계명대학교동산병원,상급종합,35.8538856,128.4801315,"대구광역시 달서구 달구벌대로 1035, (신당동)",378,1577-6622,건강보험심사평가원_병원정보서비스_v2
hospital:JDQ4MTg4MSM1MSMkMSMkMCMkODkkMzgxMzUxIzExIyQxIyQzIyQ2MiQ0NjEwMDIjNjEjJDEjJDAjJDgz,고려대학교의과대학부속구로병원,상급종합,37.492052,126.8848701,"서울특별시 구로구 구로동로 148, 고려대부속구로병원 (구로동)",521,02-2626-1114,건강보험심사평가원_병원정보서비스_v2
