단지ID,단지명,시군구,위도,경도,세대수,준공년월,물건종류,공급면적(평),전용면적(평),계약면적(평),공급면적(m2),전용면적(m2),주택형,면적일련번호,KB매매시세(만원),매매상한가(만원),매매하한가(만원),KB전세시세(만원),월세보증금(만원),월세최저(만원),월세최고(만원),세대수(평형),시세제공여부,전세가율,용적률,건폐율,월간매매변동률,월간전세변동률
1,동현,광진구,37.51938,127.0367525,548,1985.08,01,30.99,25.68,32.08,102.47,84.92,,1,275000,282500,267500,70000,10000,245,265,380,1,25.5,174.0,15.0,-0.9,0.0
1,동현,광진구,37.51938,127.0367525,548,1985.08,01,42.63,36.47,44.32,140.95,120.58,,49364,355000,365000,345000,90000,10000,265,285,24,1,25.5,174.0,15.0,-0.9,0.0
1,동현,광진구,37.51938,127.0367525,548,1985.08,01,42.85,36.20,44.48,141.66,119.67,,127745,355000,365000,345000,90000,10000,265,285,96,1,25.5,174.0,15.0,-0.9,0.0
1,동현,광진구,37.51938,127.0367525,548,1985.08,01,53.05,45.38,55.14,175.38,150.04,,93339,390000,400000,380000,110000,10000,290,300,48,1,25.5,174.0,15.0,-0.9,0.0
10,월드노블레스빌,서초구,37.5135375,127.0231407,12,2001.10,01,43.00,39.06,57.52,142.17,129.13,,93346,0,0,0,0,0,0,0,4,0,,234.0,59.0,,
10,월드노블레스빌,서초구,37.5135375,127.0231407,12,2001.10,01,45.14,41.00,60.37,149.23,135.54,,10,0,0,0,0,0,0,0,4,0,,234.0,59.0,,
10,월드노블레스빌,서초구,37.5135375,127.0231407,12,2001.10,01,59.20,53.77,79.18,195.72,177.76,,49373,0,0,0,0,0,0,0,4,0,,234.0,59.0,,
1000,상계1차중앙하이츠,강북구,37.6540094,127.0688446,437,1997.10,01,24.01,18.09,28.27,79.38,59.82,,966,60500,64750,56500,35500,5000,110,120,188,1,58.7,297.0,20.0,7.08,1.43
1000,상계1차중앙하이츠,강북구,37.6540094,127.0688446,437,1997.10,01,30.01,25.59,36.03,99.22,84.60,,50283,78500,80000,74500,55000,5000,140,150,159,1,58.7,297.0,20.0,7.08,1.43
1000,상계1차중앙하이츠,강북구,37.6540094,127.0688446,437,1997.10,01,45.06,40.82,54.68,148.98,134.97,,94064,94000,98000,92000,64000,10000,148,160,90,1,58.7,297.0,20.0,7.08,1.43
1001,한신(2차),강북구,37.6648162,127.0681543,471,1988.05,01,19.63,13.89,20.11,64.92,45.92,,967,34000,35000,31000,20500,1000,75,80,201,1,60.3,234.0,19.0,0.0,0.0
1001,한신(2차),강북구,37.6648162,127.0681543,471,1988.05,01,24.62,17.68,25.23,81.41,58.46,,50284,47500,49000,44000,26500,5000,83,88,120,1,60.3,234.0,19.0,0.0,0.0
1001,한신(2차),강북구,37.6648162,127.0681543,471,1988.05,01,30.65,25.68,31.54,101.35,84.92,,94065,59500,61500,57000,36000,5000,108,123,150,1,60.3,234.0,19.0,0.0,0.0
1003,희락상가,강북구,37.6712082,127.057283,34,1997.11,01,29.52,18.06,30.60,97.59,59.73,,969,38000,40700,36500,0,0,0,0,15,1,,287.0,58.0,,
1003,희락상가,강북구,37.6712082,127.057283,34,1997.11,01,41.96,25.68,43.50,138.72,84.90,,50286,51100,57900,47600,0,0,0,0,19,1,,287.0,58.0,,
1005,코오롱,강북구,37.6524871,127.0700536,215,1997.12,01,25.00,18.13,32.13,82.65,59.94,,971,57500,60000,55000,34750,5000,85,93,86,1,60.4,263.0,21.0,0.0,0.0
1005,코오롱,강북구,37.6524871,127.0700536,215,1997.12,01,28.82,22.13,37.53,95.30,73.17,,50288,66500,68500,65500,42250,5000,93,100,57,1,60.4,263.0,21.0,0.0,0.0
1005,코오롱,강북구,37.6524871,127.0700536,215,1997.12,01,32.94,25.68,43.05,108.91,84.90,,94067,72000,73500,70000,52000,5000,113,128,72,1,60.4,263.0,21.0,0.0,0.0
1006,노원현대,강북구,37.6585885,127.0633927,259,1997.01,01,32.27,25.64,36.01,106.68,84.78,,972,74000,76500,72000,49000,5000,140,150,241,1,66.2,246.0,22.0,0.0,0.0
1006,노원현대,강북구,37.6585885,127.0633927,259,1997.01,01,32.36,25.70,36.12,107.00,84.99,C,50289,74000,76500,72000,49000,5000,140,150,18,1,66.2,246.0,22.0,0.0,0.0
1007,상계대림,강북구,37.6635794,127.0747096,675,1989.08,01,24.60,18.05,25.22,81.35,59.67,,973,48750,50000,45500,29000,3000,90,95,405,1,59.5,269.0,26.0,1.56,0.0
1007,상계대림,강북구,37.6635794,127.0747096,675,1989.08,01,31.36,25.68,32.23,103.67,84.91,,50290,67750,69500,65000,43000,5000,120,130,270,1,59.5,269.0,26.0,1.56,0.0
1008,은빛(2단지),노원구,37.6800198,127.0538498,1313,1998.10,01,16.24,12.00,18.60,53.71,39.69,A,1212689,35000,37000,31750,21000,2000,80,90,39,1,64.5,260.0,22.0,1.4,0.0
1008,은빛(2단지),노원구,37.6800198,127.0538498,1313,1998.10,01,16.25,12.00,18.60,53.73,39.70,B,974,35000,37000,31750,21000,2000,80,90,236,1,64.5,260.0,22.0,1.4,0.0
1008,은빛(2단지),노원구,37.6800198,127.0538498,1313,1998.10,01,20.37,15.05,23.32,67.35,49.77,,50291,44500,46500,40500,27500,2000,95,105,408,1,64.5,260.0,22.0,1.4,0.0
1008,은빛(2단지),노원구,37.6800198,127.0538498,1313,1998.10,01,24.52,18.12,28.08,81.09,59.92,A,1212690,54250,56500,48250,35000,2000,118,125,120,1,64.5,260.0,22.0,1.4,0.0
1008,은빛(2단지),노원구,37.6800198,127.0538498,1313,1998.10,01,24.54,18.13,28.09,81.13,59.95,B,94068,54250,56500,48250,35000,2000,118,125,510,1,64.5,260.0,22.0,1.4,0.0
1009,상계대림(e편한세상),강북구,37.674706,127.050755,230,2002.07,01,24.74,16.87,29.72,81.79,55.77,A,975,47000,48250,43500,31000,2000,98,113,58,1,60.1,326.0,24.0,0.0,0.0
1009,상계대림(e편한세상),강북구,37.674706,127.050755,230,2002.07,01,24.74,16.87,29.72,81.79,55.77,B,50292,47000,48250,43500,31000,2000,98,113,14,1,60.1,326.0,24.0,0.0,0.0
1009,상계대림(e편한세상),강북구,37.674706,127.050755,230,2002.07,01,24.74,16.87,29.72,81.79,55.77,C,94069,47000,48250,43500,31000,2000,98,113,8,1,60.1,326.0,24.0,0.0,0.0
1009,상계대림(e편한세상),강북구,37.674706,127.050755,230,2002.07,01,33.42,25.31,40.84,110.48,83.68,B,153408,63500,66000,61500,38000,5000,123,135,19,1,60.1,326.0,24.0,0.0,0.0
1009,상계대림(e편한세상),강북구,37.674706,127.050755,230,2002.07,01,33.65,25.37,41.10,111.27,83.87,A,128260,63250,66000,61500,38000,5000,123,135,94,1,60.1,326.0,24.0,0.0,0.0
1009,상계대림(e편한세상),강북구,37.674706,127.050755,230,2002.07,01,44.43,34.58,54.56,146.89,114.34,,171314,75000,78500,70000,48250,0,0,0,37,1,60.1,326.0,24.0,0.0,0.0
1010,청솔상계양우,강북구,37.65578,127.07119,251,2002.07,01,33.29,24.02,37.36,110.06,79.41,A,976,67500,70500,65500,48500,5000,95,110,72,1,71.9,258.0,18.0,0.0,0.0
1010,청솔상계양우,강북구,37.65578,127.07119,251,2002.07,01,33.64,24.02,37.71,111.21,79.41,B,50293,67500,70500,65500,48500,5000,95,110,97,1,71.9,258.0,18.0,0.0,0.0
1010,청솔상계양우,강북구,37.65578,127.07119,251,2002.07,01,36.16,26.08,40.58,119.54,86.22,A,94070,70000,73000,68000,51000,5000,95,110,10,1,71.9,258.0,18.0,0.0,0.0
1010,청솔상계양우,강북구,37.65578,127.07119,251,2002.07,01,36.85,26.21,41.29,121.82,86.67,B,128261,70000,73000,68000,51000,5000,95,110,24,1,71.9,258.0,18.0,0.0,0.0
1010,청솔상계양우,강북구,37.65578,127.07119,251,2002.07,01,45.77,33.43,51.44,151.31,110.53,,153409,84000,87500,80000,55500,10000,115,130,48,1,71.9,258.0,18.0,0.0,0.0
1011,대창센시티,강북구,37.67118,127.05154,117,2002.07,01,31.87,25.66,43.02,105.35,84.85,,977,59500,62250,56000,38000,10000,90,105,102,1,63.9,286.0,23.0,0.0,0.0
1011,대창센시티,강북구,37.67118,127.05154,117,2002.07,01,31.90,25.53,43.00,105.47,84.42,C,50294,59500,62250,56000,38000,10000,90,105,15,1,63.9,286.0,23.0,0.0,0.0
1012,수락파크빌,노원구,37.6796649,127.0567905,468,2001.05,01,31.85,25.59,43.80,105.29,84.62,A,978,83500,86500,79000,52500,5000,140,150,127,1,68.3,230.0,23.0,1.09,0.0
1012,수락파크빌,노원구,37.6796649,127.0567905,468,2001.05,01,31.90,25.63,43.87,105.46,84.76,C,94071,83500,86500,79000,52500,5000,140,150,13,1,68.3,230.0,23.0,1.09,0.0
1012,수락파크빌,노원구,37.6796649,127.0567905,468,2001.05,01,31.92,25.66,43.90,105.54,84.83,B,50295,83500,86500,79000,52500,5000,140,150,53,1,68.3,230.0,23.0,1.09,0.0
1012,수락파크빌,노원구,37.6796649,127.0567905,468,2001.05,01,43.21,34.73,59.42,142.86,114.82,,128262,93000,98500,85000,63500,0,0,0,275,1,68.3,230.0,23.0,1.09,0.0
1013,상록수1단지,강북구,37.6772973,127.0514244,95,2002.05,01,23.15,16.06,33.75,76.55,53.10,,50296,44250,46250,42750,25500,2000,83,90,2,1,57.6,227.0,29.0,0.0,0.0
1013,상록수1단지,강북구,37.6772973,127.0514244,95,2002.05,01,23.50,16.23,34.10,77.71,53.65,,979,44250,46250,42750,25500,2000,83,90,93,1,57.6,227.0,29.0,0.0,0.0
1014,신이모닝빌,강북구,37.6534762,127.0697919,67,2002.06,01,22.52,18.10,29.18,74.46,59.86,,980,47000,48500,43000,29500,5000,60,70,9,1,68.6,269.0,30.0,0.0,0.0
1014,신이모닝빌,강북구,37.6534762,127.0697919,67,2002.06,01,26.18,21.05,33.92,86.57,69.60,,50297,50500,52500,46500,32000,5000,70,80,2,1,68.6,269.0,30.0,0.0,0.0
1014,신이모닝빌,강북구,37.6534762,127.0697919,67,2002.06,01,31.72,25.50,41.09,104.87,84.31,,94072,57500,59500,54000,39500,5000,80,90,20,1,68.6,269.0,30.0,0.0,0.0
1014,신이모닝빌,강북구,37.6534762,127.0697919,67,2002.06,01,31.95,25.68,41.39,105.62,84.92,B,153410,59000,61000,54000,40500,5000,80,90,9,1,68.6,269.0,30.0,0.0,0.0
